address,total_loans_disbursed,total_loan_amount,average_loan_amount
"1463 David Island Suite 772, Johnsonbury, NV 53065",2,455438,227719.0000
"4281 Barnes Rue, Grossfort, CT 38075",1,455138,455138.0000
"98272 Day Roads Suite 541, Careystad, NJ 19837",2,454759,227379.5000
"7727 Cody Pines, Kathryntown, WV 72402",1,454095,454095.0000
"PSC 6928, Box 6359, APO AP 00997",1,453429,453429.0000
"491 Timothy Parks, Scottbury, AR 79128",1,452828,452828.0000
"9824 Escobar Springs, Joannechester, NY 98209",1,452161,452161.0000
"Unit 5826 Box 5860, DPO AP 37121",3,451400,150466.6667
"81169 David Isle, Lake Alexis, WY 07956",1,450762,450762.0000
"978 Allen Mountain, West Wendy, ND 28584",1,450290,450290.0000
"3253 Vega Field Apt. 318, Perezchester, ME 41005",2,450201,225100.5000
"8697 Carrillo Walks Suite 135, Garciachester, WA 48227",2,448866,224433.0000
"287 Wolfe Place, West Diana, OR 11810",1,447943,447943.0000
"238 Miller Circles Apt. 520, Port John, TX 88835",1,447708,447708.0000
"2823 Michelle Forest Suite 652, West Christinaview, MI 26816",1,447083,447083.0000
"784 Lee Trace Apt. 822, Port Karen, VT 10037",2,445902,222951.0000
"PSC 6940, Box 2193, APO AA 15273",2,445386,222693.0000
"984 Ryan Rest Apt. 300, West Thomas, DE 69773",1,445147,445147.0000
"970 Charles Locks Apt. 343, Thomasfurt, TN 62317",1,445142,445142.0000
"59593 Joshua Spur, West Sarah, NH 77009",1,444543,444543.0000
"1192 Shelley Circle, Janetshire, MA 09686",2,442409,221204.5000
"2351 Jacqueline Estates, Doughertyberg, AK 15443",1,442348,442348.0000
"9779 Mason Corner, North Danielle, DE 65956",1,441747,441747.0000
"522 Madison Path, South Marvinberg, IL 19736",1,436448,436448.0000
"28672 Wong Spur, Anthonymouth, ID 82246",2,436278,218139.0000
"64890 Veronica Roads, Brianberg, TN 27621",1,435740,435740.0000
"3192 Amanda Village Apt. 905, Matthewshire, MN 87489",3,435106,145035.3333
"501 Andrew Pine Suite 271, Port Debra, WY 66881",1,434368,434368.0000
"097 Cynthia Glen Suite 725, North Amandahaven, NH 78452",1,433377,433377.0000
"3552 Dwayne Forks Suite 012, Johnsonville, CO 90176",1,433193,433193.0000
"49821 Lopez Cliff, Andreaville, AL 31761",1,433068,433068.0000
"21670 Walker Crest, Estesfort, NY 99095",2,432667,216333.5000
"136 Kevin Terrace Apt. 888, Hoffmanland, NE 28404",1,431757,431757.0000
"3645 Lozano Via, South Stephanieton, TX 67588",2,431143,215571.5000
"7434 Black Brook Suite 242, Stephensview, CA 29894",1,431025,431025.0000
"7733 Rickey Freeway, Susantown, MT 24351",2,430219,215109.5000
"PSC 0616, Box 7919, APO AA 51397",1,429801,429801.0000
"176 Cooper Green, Zacharyhaven, NJ 24055",2,429393,214696.5000
"6950 White Points Suite 824, Palmerburgh, FL 11625",1,428189,428189.0000
"551 Smith Forges, Christopherview, NC 98216",1,427860,427860.0000
"547 Wiley Port Suite 587, Durhamstad, MI 94745",1,426912,426912.0000
"7888 Martin Spurs Apt. 227, Blacktown, AZ 17198",2,425991,212995.5000
"PSC 4883, Box 6574, APO AE 45821",3,422408,140802.6667
"29458 Kimberly Flats Apt. 567, Pamelaport, NY 37191",3,421253,140417.6667
"770 Martin Lights, Schultzmouth, KY 37285",2,421125,210562.5000
"81256 Eugene Extensions Apt. 381, Deannaberg, ME 01419",1,418920,418920.0000
"8726 Benjamin Overpass Suite 779, Davidfort, DC 99214",1,418403,418403.0000
"43318 Thomas Plains, Port David, CT 95474",2,416905,208452.5000
"1113 Jeffrey Road, Ronnieborough, AL 83415",1,416100,416100.0000
"70296 Jesse Forges Apt. 217, Jacobton, NH 86507",1,415656,415656.0000
"3899 Carol Glens, Grahamstad, NC 83057",1,415568,415568.0000
"USNV Malone, FPO AE 41286",1,415184,415184.0000
"3949 Wilson Mill, West Manuel, AK 26896",3,414339,138113.0000
"0391 Richard Union, North Phillip, IL 66679",1,413849,413849.0000
"Unit 3345 Box 5114, DPO AP 58503",2,412904,206452.0000
"PSC 8722, Box 8392, APO AA 07692",2,412692,206346.0000
"875 Teresa Ford Suite 761, Port Ambermouth, NV 66121",1,411771,411771.0000
"Unit 1995 Box 3615, DPO AE 55157",1,411599,411599.0000
"33799 Vazquez Valley, Lake Antonioland, VA 24226",3,410323,136774.3333
"99729 Raymond Passage Suite 553, East Davidchester, NH 90068",1,409796,409796.0000
"99828 Ryan Fort, Jessemouth, LA 14073",1,404346,404346.0000
"988 Kimberly Trail, South David, KS 28294",1,404147,404147.0000
"14710 Smith Pines Apt. 315, Davischester, MS 14893",1,403403,403403.0000
"Unit 7481 Box 4773, DPO AA 73299",2,402814,201407.0000
"905 Bradley Stream Apt. 386, South Maryberg, CO 54436",3,401474,133824.6667
"990 Greer Cove Suite 592, North Nicholasfurt, CO 75515",2,400194,200097.0000
"5114 Hampton Neck, Port Erikhaven, SD 35408",2,399583,199791.5000
"3492 Humphrey Course Apt. 884, Smithshire, ID 39104",2,399017,199508.5000
"98106 Jennifer Shoal Apt. 675, Port Vanessaport, NJ 87292",1,398036,398036.0000
"8503 Andrea Highway Suite 346, Lake Lanceborough, WA 47184",3,397785,132595.0000
"31229 Robinson Cove, Kingside, GA 95470",2,396713,198356.5000
"0858 Erik Islands, Lake Lori, WV 51962",2,395533,197766.5000
"15356 David Meadow, Juliehaven, KS 31100",2,395529,197764.5000
"USNS Gonzalez, FPO AP 07497",1,394189,394189.0000
"80527 Jennifer Valleys, Lake Christopher, WI 16415",2,393748,196874.0000
"500 Darren Harbors, Kellistad, NH 48253",3,393108,131036.0000
"501 James Expressway, Troyshire, IA 74602",1,389570,389570.0000
"202 Bender Point, Sophiabury, VA 28621",1,388356,388356.0000
"47703 Russo Ville, Lake Michaelmouth, MA 38800",3,386458,128819.3333
"Unit 6017 Box 2314, DPO AA 29004",1,386251,386251.0000
"69193 Aaron Station, Juliemouth, TN 55766",1,384897,384897.0000
"692 Pena Glens Apt. 294, South Michaelchester, CA 18662",3,384621,128207.0000
"26780 Washington Meadow, West Diane, IN 64910",2,384454,192227.0000
"603 Thomas Villages, Blankenshipland, DE 66992",1,382307,382307.0000
"20800 Murray Tunnel Suite 328, Nancyton, SC 48176",1,381994,381994.0000
"Unit 5770 Box 7683, DPO AA 25057",2,381075,190537.5000
"9599 Garcia Place, Mayside, IN 73757",2,380702,190351.0000
"044 Christopher Rapids, New Richard, IN 53009",1,380002,380002.0000
"56670 Melanie Pike, Dawnfort, WI 89018",1,379172,379172.0000
"175 Cody Spur Apt. 852, Rodriguezstad, ME 75587",3,378316,126105.3333
"80228 Maureen Tunnel, Alexandraberg, ND 76142",1,378148,378148.0000
"21042 Marie Ridge Apt. 295, Petersonberg, AZ 39310",3,375879,125293.0000
"743 Tyler Hill Suite 144, Port Williamchester, CT 86141",1,374812,374812.0000
"481 Watts Cliffs Apt. 028, New Daniel, RI 16680",2,374014,187007.0000
"53921 Monique Creek Suite 949, Liborough, NC 48213",2,373707,186853.5000
"13677 Brittney Springs Apt. 478, Maryview, AR 76965",2,373700,186850.0000
"286 Richard Point Apt. 340, Port Cheyenneton, NV 07121",1,373055,373055.0000
"1940 Kimberly Gardens Apt. 094, East Sabrinabury, SD 44816",1,371849,371849.0000
"9951 Ann Tunnel, Paulchester, SC 52320",1,371312,371312.0000
"019 Murray Way, Angelafort, HI 62012",1,370448,370448.0000
"77430 Jason View, Lake Nathaniel, CA 44302",1,369461,369461.0000
"0912 Conner Meadow Suite 068, Maryport, WY 72370",1,368629,368629.0000
"7438 Fernandez Meadows Suite 236, Blakeberg, MD 47063",1,368565,368565.0000
"061 Harrington Cape, Danielchester, TX 45029",2,368436,184218.0000
"020 Edward Shoal, Port Abigail, WA 35071",1,365889,365889.0000
"21805 Sims Spurs Apt. 443, Lake Keithbury, IN 46433",1,365729,365729.0000
"289 Kevin River Apt. 283, Keithfurt, MT 19915",2,364325,182162.5000
"9176 Kenneth View, New Garyberg, IN 37046",2,364027,182013.5000
"4203 Rachel Center Apt. 816, Lake Yvettehaven, CO 21542",2,363770,181885.0000
"PSC 8937, Box 0545, APO AP 10095",2,362350,181175.0000
"PSC 3195, Box 1018, APO AE 04495",2,361789,180894.5000
"56022 Richard Street, Lisamouth, OK 84609",1,360610,360610.0000
"31462 Gavin Glen Suite 793, Franklinbury, CO 72591",2,360575,180287.5000
"PSC 6559, Box 4248, APO AP 98192",2,360142,180071.0000
"12584 Danielle Parkways Suite 433, New Christopherbury, HI 55844",2,359151,179575.5000
"8926 Jones Rue Apt. 847, Lake Kurtside, KY 62801",2,358113,179056.5000
"796 Dana Flat, West Jeffreyfort, ME 03598",1,355434,355434.0000
"3086 Lawrence Road, North Michael, SC 45744",1,355065,355065.0000
"9045 Baker Camp, Kimberlyland, NY 74536",3,353462,117820.6667
"17471 Stacy Coves Apt. 573, New Madeline, ND 14565",1,352666,352666.0000
"432 April Land Suite 115, Port Elizabethview, SC 18584",2,351542,175771.0000
"77339 Joseph Knolls, West Todd, OK 22888",1,350536,350536.0000
"42151 Theresa Estate Suite 689, Lake Julie, MA 28684",1,349770,349770.0000
"58791 Summers Throughway, East Rebecca, MI 17739",1,349215,349215.0000
"414 Bradley Extension Apt. 881, South Kelly, CA 88543",2,348162,174081.0000
"40177 Mike Manor, West Peggy, MI 16619",1,348094,348094.0000
"722 Lisa Views Suite 987, West Diane, NC 45936",2,346766,173383.0000
"3337 Brown Estates, East Joelland, NH 90080",1,343335,343335.0000
"7619 White Summit, East Ann, MA 91318",1,341535,341535.0000
"7591 Justin Shoal Apt. 032, Port Williamland, SC 97900",1,341144,341144.0000
"713 Albert Plaza, Deborahland, WY 69783",1,340551,340551.0000
"82041 Deleon Inlet, Dawntown, CO 95276",1,339577,339577.0000
"5751 Barber Freeway Suite 973, West Rebeccaview, IL 37746",1,338547,338547.0000
"USNS Jackson, FPO AA 49694",1,337766,337766.0000
"Unit 3702 Box 2458, DPO AE 14724",2,336860,168430.0000
"25509 Yates Station Apt. 468, New Bradley, RI 75374",1,336440,336440.0000
"76355 Shelton Glens, Millerberg, IN 47457",2,336356,168178.0000
"2032 Wolf River, New Michael, IA 52706",1,335998,335998.0000
"05135 Howell Valley, Tanyashire, ND 51679",1,334018,334018.0000
"PSC 6210, Box 8599, APO AP 40183",1,330930,330930.0000
"27520 Anthony Haven Apt. 012, Port Debbiehaven, MI 99720",2,330823,165411.5000
"0043 Robert Field Suite 873, Brownview, NV 79405",1,329779,329779.0000
"75547 Kelly Divide, East Robertburgh, MI 26626",1,329642,329642.0000
"7431 Aguilar Springs, Richardsontown, DC 44584",1,327514,327514.0000
"652 Elizabeth Square Suite 249, New Stephanieland, VA 15530",2,327505,163752.5000
"870 Kathryn Crossing, Port Sandra, MI 13497",1,326951,326951.0000
"086 Kayla Burgs, Lake Anthony, NJ 05625",2,326920,163460.0000
"658 Larsen Radial Suite 489, Armstrongbury, PA 60458",1,326241,326241.0000
"371 Nicole Wells, Rowlandborough, ND 61287",2,324701,162350.5000
"Unit 1190 Box 9233, DPO AE 46774",1,323428,323428.0000
"20813 Catherine Circles Suite 811, Brianport, FL 03913",2,322669,161334.5000
"342 Chad Ranch, New Emily, MO 69969",1,321652,321652.0000
"527 Carr Expressway Suite 681, South Kimberlymouth, HI 50639",1,321330,321330.0000
"3599 Scott Stravenue Apt. 251, North Jacobchester, NJ 25675",1,316729,316729.0000
"1520 Rhonda Drive, Smithview, MO 55495",1,315553,315553.0000
"712 Johnson Ridge Apt. 286, East Nicholas, AK 59589",1,314874,314874.0000
"PSC 3193, Box 0544, APO AA 86780",2,314682,157341.0000
"0187 Ellis Stravenue Apt. 893, Lake Jamie, OH 74295",1,314643,314643.0000
"064 Karen Tunnel, New Carolyn, NE 65372",2,314254,157127.0000
"68377 Villarreal Bridge Apt. 055, Jennaland, OH 98290",2,310653,155326.5000
"69165 Edward Mountain Apt. 579, South Alexandra, CT 49248",1,310582,310582.0000
"703 Christopher Manors, Carlaview, ID 87331",2,309710,154855.0000
"594 David Mount Suite 312, Lake Jamestown, WV 22786",1,308503,308503.0000
"225 Webb Ports, Port Rebeccaberg, DE 93073",2,307787,153893.5000
"0113 Owen Springs, East Renee, ME 76363",2,307111,153555.5000
"5802 Thompson Court, South Seanville, VT 30378",1,305084,305084.0000
"271 Mcgee Burg, Lake Paulachester, MD 39263",1,303970,303970.0000
"66972 Paul Field, Lake Ernestberg, VT 77229",1,302825,302825.0000
"482 Russell Prairie, Rachaelborough, ID 90570",1,302770,302770.0000
"08283 Lowe Square, East Kristy, NJ 64433",1,300922,300922.0000
"8374 Shirley Greens Suite 987, Lake Richard, AR 61748",1,299046,299046.0000
"0587 Nicholas Hollow, Villegaschester, OR 34943",1,298915,298915.0000
"081 Chad Club Suite 360, Port Jessicamouth, NM 17050",1,298844,298844.0000
"303 Mckinney Lane, Vazquezfurt, HI 88510",1,298609,298609.0000
"PSC 8498, Box 8689, APO AE 17263",1,297237,297237.0000
"281 Lee Village, Taylorborough, HI 70185",2,297060,148530.0000
"423 Peter Plains Apt. 133, Carpenterfurt, OK 89944",2,294985,147492.5000
"366 Robert Knolls, North Shane, AL 78457",1,294263,294263.0000
"8057 Allen Oval Suite 075, Port Marcbury, WI 04040",2,292301,146150.5000
"252 Holder Springs Suite 280, South Heatherberg, TX 14366",1,289928,289928.0000
"270 Stephen Rapids Apt. 342, Lake Brenda, VA 09794",1,289037,289037.0000
"Unit 0307 Box 1827, DPO AP 76971",2,288341,144170.5000
"0604 Mason Divide Apt. 123, Torreston, RI 44155",1,286362,286362.0000
"06001 Daniels Expressway Suite 684, North Theresashire, TX 92427",2,285224,142612.0000
"338 Hall View Suite 826, Port Anthonyberg, VA 23243",1,284233,284233.0000
"68160 James Trail Apt. 530, North Lee, MN 47525",2,282149,141074.5000
"3336 Rhonda Cliff Suite 076, New Todd, NY 60695",1,280068,280068.0000
"599 Erik Inlet Suite 608, West Lauraport, NY 22314",2,279763,139881.5000
"562 John Circle Apt. 160, Alexandraburgh, MO 56805",1,279224,279224.0000
"10093 Savannah Row, Longton, MN 93570",1,279207,279207.0000
"Unit 9800 Box 2830, DPO AE 78014",1,278413,278413.0000
"272 Schneider Locks Apt. 002, West Andrea, CT 63189",1,277872,277872.0000
"461 Jose Orchard Suite 999, Theresaland, MN 96942",1,277687,277687.0000
"7309 Amy Dam Apt. 604, Port Christopher, KS 71138",1,276853,276853.0000
"311 Winters Pike, Millerfort, MI 97240",2,274885,137442.5000
"414 Acosta Vista Suite 561, Sheppardmouth, MI 46008",1,272069,272069.0000
"USCGC Miller, FPO AA 51970",1,272049,272049.0000
"243 Adams Burgs Suite 023, South Christopherside, NH 05255",2,271070,135535.0000
"73722 Sheri Islands Suite 758, New Sabrina, FL 01235",1,270084,270084.0000
"6294 Mcclure Ridges Apt. 532, Porterfurt, MS 09973",1,268719,268719.0000
"283 Sarah Lodge Suite 235, Brownmouth, DC 59142",1,268147,268147.0000
"USCGC Collins, FPO AE 80990",1,266987,266987.0000
"5789 William Mills Suite 153, East Angelicaville, SD 01173",1,265956,265956.0000
"6000 Phillip Ferry, Rhodeston, VT 57551",2,263079,131539.5000
"6409 Kristin Island, Jamesville, SC 09767",1,261876,261876.0000
"2894 Knight Dale Suite 858, Jerryhaven, MO 31938",1,257663,257663.0000
"52360 Shannon Ports Apt. 466, Port Jillshire, AL 12517",2,256757,128378.5000
"613 Ross Lights Apt. 143, South Sarah, MD 36052",1,256423,256423.0000
"511 Ramsey Ports Apt. 534, New Christina, SC 85802",1,256166,256166.0000
"992 Munoz Alley Apt. 897, Donnaberg, WA 91348",1,255874,255874.0000
"885 Heather Creek Apt. 854, East Charlotte, WY 32697",1,254543,254543.0000
"382 Dominguez Center, New Rachael, LA 02364",1,253974,253974.0000
"USNS Lucas, FPO AP 89370",1,253010,253010.0000
"786 Angela Mills Apt. 297, Kathleenfurt, NH 33331",2,252806,126403.0000
"5422 Melendez Expressway, South Emily, WV 02224",1,251272,251272.0000
"2623 Franklin Island, Grayshire, AK 82343",2,250125,125062.5000
"9224 James Ville, Liland, MS 43837",1,248804,248804.0000
"172 Delacruz Lake, Justintown, NH 05637",2,246432,123216.0000
"9605 Chelsey Ferry Suite 967, Jeffreyport, GA 06565",1,246401,246401.0000
"86307 Nathan Ville Suite 022, South Mark, RI 50004",1,246311,246311.0000
"699 Jones Crossing, Samuelstad, MA 88021",1,242399,242399.0000
"02797 Howard Path, East Curtisstad, UT 07217",1,239997,239997.0000
"25015 Bell Light Apt. 886, Maddenstad, MN 44170",1,239317,239317.0000
"4000 Andrea Spring, North Stacybury, MD 99695",2,237417,118708.5000
"463 English Port Apt. 026, East Christopherfort, GA 24447",3,237215,79071.6667
"841 Edwards Point Suite 383, Flemingland, CT 64802",1,234793,234793.0000
"534 Matthew Mountain Suite 577, Garzafurt, FL 05073",1,234350,234350.0000
"PSC 1516, Box 2653, APO AA 01572",2,233247,116623.5000
"152 Gary Center Suite 619, West Johnstad, IN 75539",1,232436,232436.0000
"821 Timothy Dam, Port Rubenton, LA 76889",1,230898,230898.0000
"44678 Meyers Turnpike, Carlosland, GA 33566",1,230733,230733.0000
"864 Brandon Mission, New Jo, CO 64789",1,230468,230468.0000
"4879 Perez Lakes Apt. 051, Joshuabury, MS 56812",2,230273,115136.5000
"27557 Burgess Springs Apt. 409, Liumouth, CO 48621",2,229952,114976.0000
"605 Alan Knolls Apt. 594, Dillonfort, MT 63714",1,229429,229429.0000
"733 Jerry Walks Apt. 141, New Wendy, WA 62985",1,228251,228251.0000
"1108 Paul Turnpike Suite 225, Cathyberg, MS 82512",1,226646,226646.0000
"3195 Steven Oval, Wagnerstad, AR 53295",2,225991,112995.5000
"USS Johnson, FPO AA 33291",2,223687,111843.5000
"93012 Joseph Brooks Apt. 545, West Patriciastad, NH 84904",1,223288,223288.0000
"342 Mitchell Courts, West Joseph, OR 93567",1,222564,222564.0000
"6148 Kathryn Ranch, South Charles, OH 13424",1,220307,220307.0000
"5633 Barton Valley Apt. 268, North Kristine, MO 43845",1,219321,219321.0000
"0328 Sandra Fall, East Roseview, NE 99892",1,215937,215937.0000
"Unit 0100 Box 4508, DPO AP 19670",1,215825,215825.0000
"PSC 1949, Box 9460, APO AP 51053",1,215781,215781.0000
"9299 Ronald Locks, Danastad, CA 55239",1,215110,215110.0000
"62327 Hanson Canyon Apt. 216, Clarktown, AR 17145",1,214597,214597.0000
"743 Moore Freeway, Port Matthewshire, SC 40187",1,212926,212926.0000
"781 Danielle Summit Apt. 155, East Emilyport, GA 35793",1,212399,212399.0000
"USS Johnson, FPO AE 49166",2,211127,105563.5000
"7126 Myers Mountains, South Jeffreyburgh, WA 87261",1,210209,210209.0000
"83528 Darren Forges Suite 076, Mcdonaldville, VT 01672",1,207809,207809.0000
"0373 Pacheco Branch Apt. 923, Ashleyhaven, AK 69584",1,206342,206342.0000
"41116 Robbins Street, Ashleyport, MN 42491",1,204054,204054.0000
"57107 Nguyen Motorway, Bryanburgh, AR 43786",1,200735,200735.0000
"132 Chad Dale Suite 836, Tracyfort, AR 98990",2,198562,99281.0000
"55939 Heather Ville Suite 657, Dianeburgh, ND 08475",1,197839,197839.0000
"61032 Stevens Route Suite 890, Debraberg, NC 80548",2,196639,98319.5000
"9483 Angela Mission Suite 768, Elizabethville, DC 97742",3,194377,64792.3333
"6413 Jones Freeway Apt. 485, Chavezport, VA 50679",2,194220,97110.0000
"001 Curry Lake Suite 719, Lake Deborah, ND 80477",1,193997,193997.0000
"USNV Mcdowell, FPO AA 19120",2,193908,96954.0000
"4934 Carlos Shores Suite 171, New Christina, MA 72899",1,193822,193822.0000
"PSC 6033, Box 5353, APO AP 60815",1,193162,193162.0000
"225 Howell Plains, East Scott, ME 70719",1,192903,192903.0000
"996 Chad Walks Apt. 360, Rodrigueztown, TX 74086",1,192269,192269.0000
"3946 Boyer Hill Suite 560, West Prestonview, AR 43034",2,192056,96028.0000
"Unit 1365 Box 4252, DPO AE 48944",1,189581,189581.0000
"62947 Cohen Motorway, West Samuel, VT 58649",1,188257,188257.0000
"00709 Stacy Road, Robertsstad, NH 42633",1,187905,187905.0000
"249 Andrew Mission Suite 873, New Richard, LA 16359",1,184845,184845.0000
"USNV Owens, FPO AE 49673",1,181825,181825.0000
"2688 Heather Hill, New Staciehaven, NE 27036",2,181786,90893.0000
"355 Richard Junctions, Port Andreaton, GA 68317",1,181756,181756.0000
"89071 Jaclyn Passage, North Nicholas, MA 42066",1,179750,179750.0000
"386 Kyle Forest Suite 574, East Rhondatown, ME 30875",1,175657,175657.0000
"8593 Reynolds Corners, Nelsonville, KS 62208",1,175268,175268.0000
"69355 Debra Burgs, New Shanemouth, IL 54141",2,174249,87124.5000
"19247 Jones Greens, Jeffreyport, MI 43085",1,170087,170087.0000
"518 Samantha Crossing Apt. 525, Charlenefort, IA 28629",1,169544,169544.0000
"05377 Reeves Place, Davidborough, NC 52831",2,169444,84722.0000
"774 Matthew Cove Suite 251, Coxview, MD 14807",1,166236,166236.0000
"5865 Amy Glen, Hollyland, ID 31167",1,165989,165989.0000
"08790 Flynn Valleys, Lake Brooke, IN 45224",1,165895,165895.0000
"Unit 2218 Box 2075, DPO AP 01262",1,163767,163767.0000
"841 Jesse Mountains, East William, RI 12215",1,160957,160957.0000
"99127 Erin Extension Suite 786, Port Reginafurt, TX 12751",1,160937,160937.0000
"85896 Hughes Road Apt. 267, Cynthiaside, OH 01426",2,159990,79995.0000
"39577 Anthony Lakes, Rileyborough, WV 77493",1,158968,158968.0000
"49522 Brooks Gardens, Mcknightfurt, NM 03431",3,158844,52948.0000
"54514 Kelly Orchard Apt. 791, Lake Angelaport, IN 92452",2,158677,79338.5000
"19486 Scott Junctions Apt. 482, East Gabrielle, NE 46311",1,157213,157213.0000
"92409 Marks Mills, Aprilton, WY 91278",1,155658,155658.0000
"8424 Arnold Extension, Melissatown, MA 09245",1,155142,155142.0000
"USCGC Christian, FPO AA 18927",1,153945,153945.0000
"USNV Howard, FPO AE 20153",3,152918,50972.6667
"07030 Calderon Expressway, Port Donald, HI 68914",2,152834,76417.0000
"5221 Robert Plains, Darrenmouth, VA 15663",1,151151,151151.0000
"9391 Evans Dam Apt. 190, Joshuamouth, AK 99401",1,150074,150074.0000
"355 George Plains, Donaldmouth, NY 19337",2,148299,74149.5000
"PSC 4202, Box 9843, APO AA 67867",1,147098,147098.0000
"9030 Regina Causeway, Colefurt, RI 79688",1,144627,144627.0000
"52906 Luis Squares Suite 906, North Christian, NV 32266",1,143751,143751.0000
"58091 Clark Village, Victoriamouth, GA 68629",2,143737,71868.5000
"227 Santos Via Apt. 127, Kimberlyfurt, OH 47025",1,143529,143529.0000
"Unit 9551 Box 4995, DPO AE 85836",1,140703,140703.0000
"2871 Frey Fork Apt. 833, West Christopher, MT 67223",1,140212,140212.0000
"579 Justin Route, Coxberg, OR 73569",2,138811,69405.5000
"883 Amy Roads Suite 723, East Rhonda, PA 88822",1,138559,138559.0000
"2389 Morris Canyon, Khanborough, IL 96590",1,136294,136294.0000
"107 Clay Common, Port Frank, CT 70631",1,135851,135851.0000
"878 David Vista, Garytown, MT 03868",2,134857,67428.5000
"351 Williams Loop Suite 913, New Scott, CT 26446",1,133614,133614.0000
"63489 Karen Roads, Robertfort, AK 83442",1,133241,133241.0000
"85064 Velez Way, East Rebeccashire, SD 46870",2,132321,66160.5000
"90038 Yu Shoal Apt. 925, West Richardview, AR 04214",1,130181,130181.0000
"083 Cox Rest Suite 367, Howardburgh, PA 37670",1,129480,129480.0000
"159 Duran Springs, Lake Matthewland, IA 68615",1,129143,129143.0000
"913 David Throughway Apt. 554, East Sarastad, ME 85172",1,128805,128805.0000
"75791 Ayala Mountain Apt. 916, Margaretmouth, WI 23705",2,127539,63769.5000
"240 Julia Canyon Apt. 042, Christopherton, DE 08505",1,126100,126100.0000
"217 Meghan Walks, West Sarah, IA 89305",2,125626,62813.0000
"Unit 8535 Box 7007, DPO AE 80737",1,125450,125450.0000
"21454 Hammond Spurs, Lake Georgeton, MO 83939",1,124850,124850.0000
"2863 Wood Ramp Apt. 056, West Vincent, MS 42461",1,121977,121977.0000
"82444 Barker Ranch, Lake Sonya, DC 93775",1,121045,121045.0000
"2300 Lisa Glens Apt. 830, Traciberg, KY 33717",1,120837,120837.0000
"0865 Palmer Ranch Apt. 849, New Russell, MS 92969",1,120274,120274.0000
"44485 Catherine Row Apt. 528, New David, VA 72149",3,119454,39818.0000
"08246 Joann Trail, Arnoldfort, NH 17321",1,117578,117578.0000
"92085 Amanda Overpass Apt. 351, East Charlene, TN 30409",1,117140,117140.0000
"44666 Jessica Trace, Jasonfort, IN 33210",1,115983,115983.0000
"978 Greene Camp, Martinezchester, VA 91485",2,115711,57855.5000
"37974 Daniel Lakes, Cynthiaton, NC 05343",1,113413,113413.0000
"99934 Joshua Viaduct Suite 679, South Aaron, AR 26341",1,113168,113168.0000
"96237 Jeffrey Skyway Apt. 113, Port Laurieburgh, CT 52276",1,112780,112780.0000
"2131 Gregory River Suite 657, South Bradley, AL 55399",1,112595,112595.0000
"USNS King, FPO AP 09647",1,112166,112166.0000
"12299 Catherine Club, Villarrealland, ME 42138",1,109608,109608.0000
"8789 Alexander Pass, Heatherberg, NC 11787",1,108516,108516.0000
"12020 Nicholas Brook Apt. 434, Gonzalezview, AR 14109",1,108297,108297.0000
"166 Howe Garden Apt. 581, Port Kristiebury, CT 23485",2,105797,52898.5000
"69752 Matthew Mall, New Michael, NH 21086",1,104157,104157.0000
"8711 Jamie Flat, New Mark, MD 91526",1,103736,103736.0000
"8424 Lauren Ford Apt. 873, West Amy, WA 74718",1,101490,101490.0000
"029 Crystal Underpass, Russellmouth, CT 04741",1,101297,101297.0000
"599 Douglas Isle Suite 060, Daniellestad, OK 05756",2,100525,50262.5000
"85526 Francis Turnpike Apt. 108, North Wandamouth, WV 24841",1,100472,100472.0000
"253 Bailey Junctions, Susanmouth, WV 58797",1,98551,98551.0000
"991 Cannon Stream, Port Carl, WA 27781",1,96518,96518.0000
"528 Carr Run, South Danielle, WI 08654",1,95844,95844.0000
"11603 Christian Divide Suite 087, Sharifort, NM 98921",2,95554,47777.0000
"413 Traci Meadow Apt. 962, Mooreport, FL 61924",2,94295,47147.5000
"0827 Caitlin Road, Lindseyfurt, NJ 18054",1,94231,94231.0000
"660 Ashley Divide Apt. 797, Jacobsonmouth, AR 19244",1,88992,88992.0000
"0497 Brown Flat, North Mark, IA 37675",1,87579,87579.0000
"8364 Jack Club, Lake Todd, WI 29315",1,87500,87500.0000
"3439 Kimberly Lodge Apt. 969, Gardnerton, MN 78538",1,84951,84951.0000
"207 Banks Extensions, New Jamesborough, OR 66829",2,84844,42422.0000
"292 Elliott Plains, Parkerview, NC 09818",2,83993,41996.5000
"3476 Brenda Ville, Rhondaport, AZ 67754",1,83694,83694.0000
"60544 Brian Stravenue, East James, NV 66607",1,83667,83667.0000
"066 Daniel Trafficway Suite 747, East Heatherview, MA 74387",1,82208,82208.0000
"116 Felicia Neck Suite 537, Lindafort, MO 03011",2,81405,40702.5000
"963 Christian Wells, Jacksonville, MN 65153",1,79346,79346.0000
"00445 Charles Skyway Apt. 055, West Christopher, ND 32244",1,78439,78439.0000
"9179 Reese Creek Suite 410, Kyleport, GA 49902",1,78252,78252.0000
"45295 Sampson Mill Suite 962, West Courtney, WV 97583",2,78250,39125.0000
"80329 Latoya Road Apt. 721, Zacharyland, MT 20311",1,77252,77252.0000
"479 Williams Terrace Suite 429, New Christopherhaven, LA 32337",1,77137,77137.0000
"39508 Reed Ferry, Bowenton, NH 67480",1,76137,76137.0000
"93389 Wayne Fall, Anthonybury, MS 35388",1,74086,74086.0000
